"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"3","ST","M","","1","- Finishing Plaster - Aci","11.00","ls",""," Rp 219,000 "," Rp 2,409,000 "," Rp 150,000.00 "," Rp 1,650,000 "," Rp 759,000.00 ","0.09%"
"4","ST","M","","1","Pengukuran dan Kalibrasi Level Lantai Mezzanine","1.00","ls",""," Rp 511,000 "," Rp 511,000 "," Rp 350,000.00 "," Rp 350,000 "," Rp 161,000.00 ","0.02%"
"5","ST","M","","1","Mobilisasi Material dan Peralatan","1.00","ls",""," Rp 2,190,000 "," Rp 2,190,000 "," Rp 1,500,000.00 "," Rp 1,500,000 "," Rp 690,000.00 ","0.08%"
"6","ST","B","","1","Steel Structure u/ Mezzanine Office (5m x 15m)","75.00","m2",""," Rp 2,628,000 "," Rp 197,100,000 "," Rp 1,800,000.00 "," Rp 135,000,000 "," Rp 62,100,000.00 ","7.01%"
"7","ST","B","","1","Pekerjaan Plat Lantai Beton fin. Screed","11.25","m3",""," Rp 6,570,000 "," Rp 73,912,500 "," Rp 4,500,000.00 "," Rp 50,625,000 "," Rp 23,287,500.00 ","2.63%"
"8","ST","B","","1","- Formwork","75.00","m2",""," Rp 229,378 "," Rp 17,203,359 "," Rp 157,108.30 "," Rp 11,783,123 "," Rp 5,420,236.50 ","0.61%"
"9","ST","B","Tangga","1","Pekerjaan Tangga Darurat (Struktur dan Finishing)","1.00","ls",""," Rp 24,090,000 "," Rp 24,090,000 "," Rp 16,500,000.00 "," Rp 16,500,000 "," Rp 7,590,000.00 ","0.86%"
"SubTotal Pekerjaan Umum","","","","","","","","",""," Rp 523,646,699 ",""," Rp 284,512,123 "," Rp 239,134,576 ","18.64%"
"2","","","","","PEKERJAAN ARSITEKTUR","","","","","","","","",""
"2.1","","","","","LANTAI 1","","","","","","","","0",""
"2.1.1","","","","","Pekerjaan Partisi Hebel, Gypsum","","","","","","","","0",""
"","","","","","Opening Jendela Belakang","","","","","","","","0","1.27%"
"1","AR","M","","1","Struktur Kanal C 100","32.40","m",""," Rp 458,805 "," Rp 14,865,282 "," Rp 314,250.00 "," Rp 10,181,700 "," Rp 4,683,582.00 ","0.53%"
"2","AR","M","","1","Pekerjaan Pasangan Dinding","31.20","m²",""," Rp 160,600 "," Rp 5,010,720 "," Rp 110,000.00 "," Rp 3,432,000 "," Rp 1,578,720.00 ","0.18%"
"3","AR","M","","1","Plester - Aci Dinding","62.40","m²",""," Rp 175,200 "," Rp 10,932,480 "," Rp 120,000.00 "," Rp 7,488,000 "," Rp 3,444,480.00 ","0.39%"
"4","AR","M","","1","Pengecatan Dinding","31.20","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,049,840 "," Rp 35,000.00 "," Rp 1,092,000 "," Rp 957,840.00 ","0.07%"
"5","AR","M","","1","Pengecatan Dinding Eksterior","31.20","m²","Dulux Weathershield"," Rp 90,520 "," Rp 2,824,224 "," Rp 35,000.00 "," Rp 1,092,000 "," Rp 1,732,224.00 ","0.10%"
"","","","","1","General Area","","","","","","","","","0.04%"
"1","AR","M","","1","Pekerjaan Pasangan Dinding Hebel","1.80","m²",""," Rp 160,600 "," Rp 289,080 "," Rp 110,000.00 "," Rp 198,000 "," Rp 91,080.00 ","0.01%"
"2","AR","M","","1","Plester - Aci Dinding","3.60","m²",""," Rp 175,200 "," Rp 630,720 "," Rp 120,000.00 "," Rp 432,000 "," Rp 198,720.00 ","0.02%"
"3","AR","B","CAT","1","Pengecatan Dinding","3.60","m²","Dulux Pentalite"," Rp 65,700 "," Rp 236,520 "," Rp 35,000.00 "," Rp 126,000 "," Rp 110,520.00 ","0.01%"
"","","","","1","Musholla","","","","","","","","","0.90%"
"1","AR","M","","1","Pekerjaan Pasangan Dinding Hebel","22.50","m²",""," Rp 160,600 "," Rp 3,613,500 "," Rp 110,000.00 "," Rp 2,475,000 "," Rp 1,138,500.00 ","0.13%"
"2","AR","M","","1","Plester - Aci Dinding","45.00","m²",""," Rp 175,200 "," Rp 7,884,000 "," Rp 120,000.00 "," Rp 5,400,000 "," Rp 2,484,000.00 ","0.28%"
"3","AR","B","CAT","1","Pengecatan Dinding","45.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 2,956,500 "," Rp 35,000.00 "," Rp 1,575,000 "," Rp 1,381,500.00 ","0.11%"
"4","AR","M","","1","Partisi Pembatas Area Pria-Wanita","9.00","m²",""," Rp 1,197,200 "," Rp 10,774,800 "," Rp 820,000.00 "," Rp 7,380,000 "," Rp 3,394,800.00 ","0.38%"
"","","","","1","Area Wudhu","","","","","","","","","1.03%"
"1","AR","M","","1","Pekerjaan Pasangan Dinding Hebel","39.00","m²",""," Rp 160,600 "," Rp 6,263,400 "," Rp 110,000.00 "," Rp 4,290,000 "," Rp 1,973,400.00 ","0.22%"
"2","AR","M","","1","Plester - Aci Dinding","52.00","m²",""," Rp 175,200 "," Rp 9,110,400 "," Rp 120,000.00 "," Rp 6,240,000 "," Rp 2,870,400.00 ","0.32%"
"3","AR","B","CAT","1","Pengecatan Dinding","52.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 3,416,400 "," Rp 35,000.00 "," Rp 1,820,000 "," Rp 1,596,400.00 ","0.12%"
"4","AR","M","","1","Pekerjaan Dinding Keramik","26.00","m²",""," Rp 394,200 "," Rp 10,249,200 "," Rp 270,000.00 "," Rp 7,020,000 "," Rp 3,229,200.00 ","0.36%"
"","","","","1","Toilet","","","","","","","","","1.78%"
"1","AR","M","","1","Pekerjaan Pasangan Dinding Hebel 10cm","68.10","m²",""," Rp 160,600 "," Rp 10,936,860 "," Rp 110,000.00 "," Rp 7,491,000 "," Rp 3,445,860.00 ","0.39%"
"2","AR","M","","1","Plester - Aci Dinding","95.00","m²",""," Rp 175,200 "," Rp 16,644,000 "," Rp 120,000.00 "," Rp 11,400,000 "," Rp 5,244,000.00 ","0.59%"
"3","AR","B","CAT","1","Pengecatan Dinding","95.00","m²","Dulux Pentalite"," Rp 65,700 "," Rp 6,241,500 "," Rp 35,000.00 "," Rp 3,325,000 "," Rp 2,916,500.00 ","0.22%"
"4","AR","M","","1","Pekerjaan Dinding Keramik","41.20","m²",""," Rp 394,200 "," Rp 16,241,040 "," Rp 270,000.00 "," Rp 11,124,000 "," Rp 5,117,040.00 ","0.58%"
"2.1.2","","","","","Pekerjaan Plafond","","","","","","","","0",""
"","","","","","General Area","","","","","","","","0","0.22%"
"1","AR","M","","1","Pengukuran dan Kalibrasi Level Plafond","1.00","ls",""," Rp 511,000 "," Rp 511,000 ","0","0"," Rp 511,000.00 ","0.02%"
"2","AR","B","GYPSUM","1","Tie Rod Rangka Plafond Area Staff","78.38","m1",""," Rp 73,000 "," Rp 5,721,375 "," Rp 47,700.00 "," Rp 3,738,488 "," Rp 1,982,887.50 ","0.20%"
"","","","","1","Workstation","","","","","","","","0","5.05%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","249.00","m²","Hollow 0,4"," Rp 65,700 "," Rp 16,359,300 "," Rp 47,700.00 "," Rp 11,877,300 "," Rp 4,482,000.00 ","0.58%"
"2","AR","B","GYPSUM","1","Pekerjaan Pasang  Plafond Gypsum Drop Ceiling Area Staff (CL + 7m) ","249.00","m²","A- plus"," Rp 394,200 "," Rp 98,155,800 "," Rp 44,500.00 "," Rp 11,080,500 "," Rp 87,075,300.00 ","3.49%"
"3","AR","B","GYPSUM","1","Pengecatan Plafond Gypsum ","249.00","m²","Dulux Pentalite"," Rp 109,500 "," Rp 27,265,500 "," Rp 35,000.00 "," Rp 8,715,000 "," Rp 18,550,500.00 ","0.97%"
"","","","","1","Holding Area","","","","","","","","0","1.07%"
"1","AR","B","GYPSUM","1","Pasang Rangka Plafond Hollow","53.00","m²","Hollow 0,4"," Rp 65,700 "," Rp 3,482,100 "," Rp 47,700.00 "," Rp 2,528,100 "," Rp 954,000.00 ","0.12%"
